"","inst_type","org_name","ORG_STATE","IDC_decline","oldIDC","totaldirect","IDC_pct_decline","IDC_decline_mm","totaldirect_mm","oldIDC_mm","IDC_plot_name"
"33","Higher Ed","Bucknell University","PA",63256.05,133818,470413,0.472702102856118,0.06325605,0.470413,0.133818,"Other"
"34","Higher Ed","Butler University","IN",37222,68722,210000,0.541631500829429,0.037222,0.21,0.068722,"Other"
"35","Higher Ed","California Institute Of Technology","CA",12103780.95,17773749,39810707,0.680992003994205,12.10378095,39.810707,17.773749,"California Institute Of Technology"
"36","Higher Ed","California Poly State U San Luis Obispo","CA",69724.1,266032,1591016,0.262089147170265,0.0697241,1.591016,0.266032,"Other"
"37","Higher Ed","California State Poly U Pomona","CA",104787,181531,717054,0.577240250976417,0.104787,0.717054,0.181531,"Other"
"38","Higher Ed","California State Univ San Bernardino","CA",157751.3,276886,1131386,0.569733753241406,0.1577513,1.131386,0.276886,"Other"
"39","Higher Ed","California State Univ-Dominguez Hills","CA",112000,189269,728153,0.591750365881365,0.112,0.728153,0.189269,"Other"
"40","Higher Ed","California State University Fresno","CA",127426,231239,841407,0.551057563819252,0.127426,0.841407,0.231239,"Other"
"41","Higher Ed","California State University Fullerton","CA",143912.85,344586,2179785,0.41763986348836,0.14391285,2.179785,0.344586,"Other"
"42","Higher Ed","California State University Hayward","CA",25593.5,37781,81250,0.677417220295916,0.0255935,0.08125,0.037781,"Other"
"43","Higher Ed","California State University Long Beach","CA",336948.85,576458,2195229,0.584515871060858,0.33694885,2.195229,0.576458,"Other"
"44","Higher Ed","California State University Los Angeles","CA",131750,338131,2570245,0.389641884358429,0.13175,2.570245,0.338131,"Other"
"45","Higher Ed","California State University Northridge","CA",671266,1108230,3786905,0.605710006045676,0.671266,3.786905,1.10823,"Other"
"46","Higher Ed","California State University Sacramento","CA",158273.1,265533,852677,0.596058117070195,0.1582731,0.852677,0.265533,"Other"
"47","Higher Ed","California State University San Marcos","CA",208750,429271,2556455,0.486289546696609,0.20875,2.556455,0.429271,"Other"
"48","Higher Ed","Carnegie-Mellon University","PA",3713505.1,7543890,28351118,0.492253346748163,3.7135051,28.351118,7.54389,"Other"
"49","Higher Ed","Case Western Reserve University","OH",38780554.4,56714535,130323832,0.683785107292161,38.7805544,130.323832,56.714535,"Case Western Reserve University"
"50","Higher Ed","Catholic University Of America","DC",544674.5,783173,1589990,0.695471498634401,0.5446745,1.58999,0.783173,"Other"
"51","Higher Ed","Central Michigan University","MI",254724.7,449233,1370082,0.567021345270717,0.2547247,1.370082,0.449233,"Other"
"52","Higher Ed","Chapman University","CA",285324.8,931121,4879577,0.30643149493997,0.2853248,4.879577,0.931121,"Other"
"53","Higher Ed","Charles R. Drew University Of Med & Sci","CA",910298.35,1610826,5569037,0.565112774439946,0.91029835,5.569037,1.610826,"Other"
"54","Higher Ed","City College Of New York","NY",2302365.4,3436663,8790098,0.669942150277755,2.3023654,8.790098,3.436663,"Other"
"55","Higher Ed","Claflin University","SC",0,26006,517080,0,0,0.51708,0.026006,"Other"
"56","Higher Ed","Claremont Graduate University","CA",45110.65,86332,274809,0.522525251355233,0.04511065,0.274809,0.086332,"Other"
"57","Higher Ed","Clark Atlanta University","GA",669780.05,1014535,2806229,0.660184271612118,0.66978005,2.806229,1.014535,"Other"
"58","Higher Ed","Clarkson University","NY",337802.55,552683,1635736,0.611204885983466,0.33780255,1.635736,0.552683,"Other"
"59","Higher Ed","Clemson University","SC",4212667.2,7002716,19227482,0.601576188438886,4.2126672,19.227482,7.002716,"Other"
"60","Higher Ed","Cleveland Clinic Lerner Com-Cwru","OH",27581821.2,39441525,81190259,0.699309197603287,27.5818212,81.190259,39.441525,"Cleveland Clinic Lerner Com-Cwru"
"61","Higher Ed","Cleveland State University","OH",743203.55,1228923,3375848,0.604760062265903,0.74320355,3.375848,1.228923,"Other"
"62","Higher Ed","College At Oswego","NY",108673.15,208960,668579,0.520066759188361,0.10867315,0.668579,0.20896,"Other"
"63","Higher Ed","College Of Idaho, Inc.","ID",0,39069,282108,0,0,0.282108,0.039069,"Other"
"64","Higher Ed","College Of New Jersey","NJ",0,5652,128731,0,0,0.128731,0.005652,"Other"
"65","Higher Ed","College Of Staten Island","NY",90623,128123,250000,0.707312504390312,0.090623,0.25,0.128123,"Other"
"66","Higher Ed","College Of The Holy Cross","MA",17475.15,62340,299099,0.280320019249278,0.01747515,0.299099,0.06234,"Other"
"67","Higher Ed","Colorado School Of Mines","CO",172322.6,376127,1358696,0.458150039747213,0.1723226,1.358696,0.376127,"Other"
"68","Higher Ed","Colorado State University","CO",7898325.65,13493009,40119181,0.585364291241487,7.89832565,40.119181,13.493009,"Other"
"69","Higher Ed","Columbia International University","SC",0,27263,300000,0,0,0.3,0.027263,"Other"
"70","Higher Ed","Columbia Univ New York Morningside","NY",9805399.85,14410470,33010360,0.680435811600871,9.80539985,33.01036,14.41047,"Other"
"71","Higher Ed","Columbia University Health Sciences","NY",120292716.4,181959420,459833051,0.661096393910247,120.2927164,459.833051,181.95942,"Columbia University Health Sciences"
"72","Higher Ed","Columbia University Teachers College","NY",167646.8,336436,1241496,0.498302203093605,0.1676468,1.241496,0.336436,"Other"
"73","Higher Ed","Cornell University","NY",21957534.9,32244387,71767773,0.680972316204988,21.9575349,71.767773,32.244387,"Cornell University"
"74","Higher Ed","Creighton University","NE",1572512.6,2406239,5651190,0.653514717365981,1.5725126,5.65119,2.406239,"Other"
"75","Higher Ed","Cuyahoga Community College","OH",0,21036,500967,0,0,0.500967,0.021036,"Other"
"76","Higher Ed","Dana-Farber Cancer Inst","MA",134734.05,223095,918866,0.603931284878639,0.13473405,0.918866,0.223095,"Other"
"77","Higher Ed","Dartmouth College","NH",21155295.2,30127557,62094353,0.702190861343321,21.1552952,62.094353,30.127557,"Dartmouth College"
"78","Higher Ed","Davidson College","NC",56328.2,101258,299532,0.556283947934978,0.0563282,0.299532,0.101258,"Other"
"79","Higher Ed","De Paul University","IL",222826,503887,1873740,0.442214226602393,0.222826,1.87374,0.503887,"Other"
"80","Higher Ed","Delaware State University","DE",1041204.15,1870321,6360293,0.556698101555829,1.04120415,6.360293,1.870321,"Other"
"81","Higher Ed","Denison University","OH",10949.85,55839,299261,0.196096814054693,0.01094985,0.299261,0.055839,"Other"
"82","Higher Ed","Des Moines Univ Osteopathic Medical Ctr","IA",110368.2,155112,298292,0.711538759090206,0.1103682,0.298292,0.155112,"Other"
"83","Higher Ed","Dillard University","LA",0,17338,318826,0,0,0.318826,0.017338,"Other"
"84","Higher Ed","Dine' College","AZ",0,93617,1408360,0,0,1.40836,0.093617,"Other"
"85","Higher Ed","Dominican University","CA",19661,57161,250000,0.343958293241896,0.019661,0.25,0.057161,"Other"
"86","Higher Ed","Drexel University","PA",9035396.15,15250764,43943119,0.59245531240271,9.03539615,43.943119,15.250764,"Other"
"87","Higher Ed","Duke University","NC",106418411,160810934,382237599,0.661761040452635,106.418411,382.237599,160.810934,"Duke University"
"88","Higher Ed","Duquesne University","PA",192078.2,367812,1282286,0.522218415929877,0.1920782,1.282286,0.367812,"Other"
"89","Higher Ed","East Carolina University","NC",1352705.05,2173235,5670456,0.622438461556159,1.35270505,5.670456,2.173235,"Other"
"90","Higher Ed","East Tennessee State University","TN",1074394.95,1663349,3973027,0.645922743813836,1.07439495,3.973027,1.663349,"Other"
"91","Higher Ed","Eastern Illinois University","IL",10211,55211,300000,0.184945029070294,0.010211,0.3,0.055211,"Other"
"92","Higher Ed","Eastern Michigan University","MI",22120,38800,111200,0.570103092783505,0.02212,0.1112,0.0388,"Other"
"93","Higher Ed","Eastern Virginia Medical School","VA",100924.2,235689,1378836,0.428209207896847,0.1009242,1.378836,0.235689,"Other"
"94","Higher Ed","Eastern Washington University","WA",15106.4,75101,399964,0.20114778764597,0.0151064,0.399964,0.075101,"Other"
"95","Higher Ed","El Paso Community College","TX",0,14422,247958,0,0,0.247958,0.014422,"Other"
"96","Higher Ed","Emory University","GA",82281966.65,129976346,344282663,0.633053391499404,82.28196665,344.282663,129.976346,"Emory University"
"97","Higher Ed","Fairfield University","CT",2816,10316,50000,0.272974020938348,0.002816,0.05,0.010316,"Other"
"98","Higher Ed","Fairleigh Dickinson University","NJ",0,58330,528751,0,0,0.528751,0.05833,"Other"
"99","Higher Ed","Fayetteville State University","NC",0,21672,300400,0,0,0.3004,0.021672,"Other"
"100","Higher Ed","Florida Agricultural And Mechanical Univ","FL",985507.6,1674104,4731655,0.588677644877499,0.9855076,4.731655,1.674104,"Other"
"101","Higher Ed","Florida Atlantic University","FL",1291822.95,2017376,5211188,0.640348130442714,1.29182295,5.211188,2.017376,"Other"
"102","Higher Ed","Florida Gulf Coast University","FL",141490.55,323780,1512264,0.436995954042869,0.14149055,1.512264,0.32378,"Other"
"103","Higher Ed","Florida Institute Of Technology","FL",169990.7,255356,569102,0.665700825514184,0.1699907,0.569102,0.255356,"Other"
"104","Higher Ed","Florida International University","FL",5689170.4,9594570,27807781,0.592957308144086,5.6891704,27.807781,9.59457,"Other"
"105","Higher Ed","Florida State University","FL",8891723.75,15284047,43175006,0.581765009620816,8.89172375,43.175006,15.284047,"Other"
"106","Higher Ed","Fordham University","NY",306414.8,634991,2603886,0.482549831414933,0.3064148,2.603886,0.634991,"Other"
"107","Higher Ed","Fort Hays State University","KS",4603,19603,100000,0.234810998316584,0.004603,0.1,0.019603,"Other"
"108","Higher Ed","Fort Lewis College","CO",30000,72716,429253,0.412563947411849,0.03,0.429253,0.072716,"Other"
"109","Higher Ed","Franklin And Marshall College","PA",118073,208073,600000,0.567459497387936,0.118073,0.6,0.208073,"Other"
"110","Higher Ed","Gallaudet University","DC",315649.65,549840,1561269,0.574075458315146,0.31564965,1.561269,0.54984,"Other"
"111","Higher Ed","George Mason University","VA",2034948.5,3249740,8402324,0.626188095047604,2.0349485,8.402324,3.24974,"Other"
"112","Higher Ed","George Washington University","DC",10992128.6,20210127,66646414,0.543892109139146,10.9921286,66.646414,20.210127,"George Washington University"
"113","Higher Ed","Georgetown University","DC",8402245.4,14127216,42206978,0.59475592360165,8.4022454,42.206978,14.127216,"Other"
"114","Higher Ed","Georgia Institute Of Technology","GA",7674202.85,12265522,32627076,0.625672747560194,7.67420285,32.627076,12.265522,"Other"
"115","Higher Ed","Georgia Southern University","GA",65859,103359,250000,0.637186892288045,0.065859,0.25,0.103359,"Other"
"116","Higher Ed","Georgia State University","GA",5292508.3,8558893,22720853,0.618363648196093,5.2925083,22.720853,8.558893,"Other"
"117","Higher Ed","Graduate School Of Public Health And Health Policy","NY",1111993.15,2320081,8292875,0.479290658386496,1.11199315,8.292875,2.320081,"Other"
"118","Higher Ed","Grand Valley State University","MI",43626.9,88449,298814,0.493243564087779,0.0436269,0.298814,0.088449,"Other"
"119","Higher Ed","Hampton University","VA",47582.5,94913,592430,0.501327531528874,0.0475825,0.59243,0.094913,"Other"
"120","Higher Ed","Harvard Medical School","MA",36159065.65,51753626,114369218,0.698676951640065,36.15906565,114.369218,51.753626,"Harvard Medical School"
"121","Higher Ed","Harvard School Of Public Health","MA",17018962.9,32962306,116098876,0.51631590641747,17.0189629,116.098876,32.962306,"Harvard School Of Public Health"
"122","Higher Ed","Harvard University","MA",13935201.15,20826142,51298653,0.669120624933797,13.93520115,51.298653,20.826142,"Harvard University"
"123","Higher Ed","Haverford College","PA",181162.7,263510,548982,0.687498387157983,0.1811627,0.548982,0.26351,"Other"
"124","Higher Ed","Henry Ford Health + Michigan State University Health Sciences","MI",5561652.5,8327991,19000717,0.667826430167852,5.5616525,19.000717,8.327991,"Other"
"125","Higher Ed","Herbert H. Lehman College","NY",360578.65,587929,1736631,0.613303051899124,0.36057865,1.736631,0.587929,"Other"
"126","Higher Ed","High Point University","NC",102000,147000,300000,0.693877551020408,0.102,0.3,0.147,"Other"
"127","Higher Ed","Howard University","DC",702605.55,1142016,3868510,0.615232667493275,0.70260555,3.86851,1.142016,"Other"
"128","Higher Ed","Humboldt State University","CA",32500,47500,100000,0.684210526315789,0.0325,0.1,0.0475,"Other"
"129","Higher Ed","Hunter College","NY",1620411.2,2610157,7639936,0.620809859330301,1.6204112,7.639936,2.610157,"Other"
"130","Higher Ed","Icahn School Of Medicine At Mount Sinai","NY",102237681.2,144865565,318747915,0.705741776522254,102.2376812,318.747915,144.865565,"Icahn School Of Medicine At Mount Sinai"
"131","Higher Ed","Idaho State University","ID",171546.5,291956,1031553,0.587576552631218,0.1715465,1.031553,0.291956,"Other"
"132","Higher Ed","Illinois Institute Of Technology","IL",574668.25,1090054,3435905,0.527192460190046,0.57466825,3.435905,1.090054,"Other"
"133","Higher Ed","Illinois State University","IL",104783.8,157213,349528,0.666508494844574,0.1047838,0.349528,0.157213,"Other"
"134","Higher Ed","Indiana University Indianapolis","IN",46909557.95,72787855,183756818,0.644469574628899,46.90955795,183.756818,72.787855,"Indiana University Indianapolis"
"135","Higher Ed","Inter American University/Puerto Rico","PR",60015,105015,300000,0.571489787173261,0.060015,0.3,0.105015,"Other"
"136","Higher Ed","Iowa State University","IA",3480142.05,5459569,13242286,0.637438971830927,3.48014205,13.242286,5.459569,"Other"
"137","Higher Ed","Jackson State University","MS",635997,1205736,3798260,0.527476163936384,0.635997,3.79826,1.205736,"Other"
"138","Higher Ed","James Madison University","VA",85198.4,143687,480924,0.592944386061369,0.0851984,0.480924,0.143687,"Other"
"139","Higher Ed","John Jay College Of Criminal Justice","NY",80612,106862,175000,0.754356085418577,0.080612,0.175,0.106862,"Other"
"140","Higher Ed","Johns Hopkins University","MD",154935242.05,236832371,635758477,0.654197909668354,154.93524205,635.758477,236.832371,"Johns Hopkins University"
"141","Higher Ed","Juniata College","PA",15902.15,31511,104059,0.50465393037352,0.01590215,0.104059,0.031511,"Other"
"142","Higher Ed","Kansas City University","MO",116924.85,187080,467701,0.624999198203977,0.11692485,0.467701,0.18708,"Other"
"143","Higher Ed","Kansas State University","KS",2237212.45,3498664,8619071,0.639447643443326,2.23721245,8.619071,3.498664,"Other"
"144","Higher Ed","Kean University","NJ",0,8650,144328,0,0,0.144328,0.00865,"Other"
"145","Higher Ed","Keck Graduate Inst Of Applied Life Scis","CA",20375.9,70655,335194,0.288385818413417,0.0203759,0.335194,0.070655,"Other"
"146","Higher Ed","Keene State College","NH",69785,107285,250000,0.650463718133942,0.069785,0.25,0.107285,"Other"
"147","Higher Ed","Kennesaw State University","GA",226687,574855,3106032,0.394337702551078,0.226687,3.106032,0.574855,"Other"
"148","Higher Ed","Kent State University","OH",1073521,1581934,3401850,0.678613014196547,1.073521,3.40185,1.581934,"Other"
"149","Higher Ed","Laguardia Community College","NY",0,20512,316868,0,0,0.316868,0.020512,"Other"
"150","Higher Ed","Lehigh University","PA",1304230.85,1963583,4395681,0.66420968708733,1.30423085,4.395681,1.963583,"Other"
"151","Higher Ed","Lewis And Clark College","OR",69000,114000,300000,0.605263157894737,0.069,0.3,0.114,"Other"
"152","Higher Ed","Lewis-Clark State College","ID",25000,43750,125000,0.571428571428571,0.025,0.125,0.04375,"Other"
"153","Higher Ed","Loma Linda University","CA",1709813.8,2502148,5440428,0.683338395650457,1.7098138,5.440428,2.502148,"Other"
"154","Higher Ed","Louisiana State Univ A&M Col Baton Rouge","LA",4379533.25,7643356,22288526,0.572985642694125,4.37953325,22.288526,7.643356,"Other"
"155","Higher Ed","Louisiana State Univ Agricultural Center","LA",149108.35,263797,764591,0.565238990587459,0.14910835,0.764591,0.263797,"Other"
"156","Higher Ed","Louisiana State Univ Hsc Shreveport","LA",2813388.55,4420038,10847149,0.636507774367551,2.81338855,10.847149,4.420038,"Other"
"157","Higher Ed","Louisiana Tech University","LA",0,23060,272620,0,0,0.27262,0.02306,"Other"
"158","Higher Ed","Loyola Marymount University","CA",419044.3,672379,1688898,0.62322633514729,0.4190443,1.688898,0.672379,"Other"
"159","Higher Ed","Loyola University Chicago","IL",3030541.15,5005447,13855766,0.605448654236075,3.03054115,13.855766,5.005447,"Other"
"160","Higher Ed","Loyola University Of Chicago","IL",52130.7,77769,170922,0.670327508390233,0.0521307,0.170922,0.077769,"Other"
"161","Higher Ed","Lsu Health Sciences Center","LA",2902139.15,5103864,15985495,0.568616081854846,2.90213915,15.985495,5.103864,"Other"
"162","Higher Ed","Lsu Pennington Biomedical Research Ctr","LA",3578615.55,6522452,20535522,0.548661078686359,3.57861555,20.535522,6.522452,"Other"
"163","Higher Ed","Marian University","IN",27333.15,62814,236539,0.435144235361544,0.02733315,0.236539,0.062814,"Other"
"164","Higher Ed","Marquette University","WI",1186703.5,1924580,5209649,0.616603882405512,1.1867035,5.209649,1.92458,"Other"
"165","Higher Ed","Marshall University","WV",371453.8,1161781,5268848,0.319727900525142,0.3714538,5.268848,1.161781,"Other"
"166","Higher Ed","Massachusetts Institute Of Technology","MA",17418863.35,28361894,79374443,0.614164320267187,17.41886335,79.374443,28.361894,"Massachusetts Institute Of Technology"
"167","Higher Ed","Medgar Evers College","NY",0,8669,124992,0,0,0.124992,0.008669,"Other"
"168","Higher Ed","Medical College Of Wisconsin","WI",16439795.15,26850145,77355919,0.612279566832879,16.43979515,77.355919,26.850145,"Medical College Of Wisconsin"
"169","Higher Ed","Medical University Of South Carolina","SC",20910226.05,33228081,91990891,0.629293820789711,20.91022605,91.990891,33.228081,"Medical University Of South Carolina"
"170","Higher Ed","Meharry Medical College","TN",1487753.75,2627256,9012958,0.566276658993261,1.48775375,9.012958,2.627256,"Other"
"171","Higher Ed","Mercer University Macon","GA",167580.4,309237,1007687,0.54191574746877,0.1675804,1.007687,0.309237,"Other"
"172","Higher Ed","Merrimack College","MA",24506.1,94794,468586,0.258519526552313,0.0245061,0.468586,0.094794,"Other"
"173","Higher Ed","Metropolitan State University Of Denver","CO",0,4831,339224,0,0,0.339224,0.004831,"Other"
"174","Higher Ed","Miami University Oxford","OH",806872.45,1325113,3454937,0.608908410075216,0.80687245,3.454937,1.325113,"Other"
"175","Higher Ed","Michigan State University","MI",13931052.5,21970412,56888417,0.634082442331987,13.9310525,56.888417,21.970412,"Michigan State University"
"176","Higher Ed","Michigan Technological University","MI",791030.25,1204734,2758025,0.656601581759957,0.79103025,2.758025,1.204734,"Other"
"177","Higher Ed","Middle Tennessee State University","TN",74962.15,146725,478419,0.510902368376214,0.07496215,0.478419,0.146725,"Other"
"178","Higher Ed","Middlebury College","VT",94648.5,181830,581210,0.520532915360502,0.0946485,0.58121,0.18183,"Other"
"179","Higher Ed","Midwestern University","IL",59229.6,191342,890660,0.309548347984238,0.0592296,0.89066,0.191342,"Other"
"180","Higher Ed","Midwestern University (Glendale Az)","AZ",133999.8,258990,833268,0.517393721765319,0.1339998,0.833268,0.25899,"Other"
"181","Higher Ed","Mississippi State University","MS",607226.75,955398,2373398,0.635574650564477,0.60722675,2.373398,0.955398,"Other"
"182","Higher Ed","Missouri State University","MO",82500,127500,300000,0.647058823529412,0.0825,0.3,0.1275,"Other"
"183","Higher Ed","Missouri University Of Science & Technology","MO",90462.05,201167,738033,0.449686330262916,0.09046205,0.738033,0.201167,"Other"
"184","Higher Ed","Montana State University - Bozeman","MT",1509533.1,3115636,11376130,0.484502393732772,1.5095331,11.37613,3.115636,"Other"
"185","Higher Ed","Montana State University -Billings","MT",0,18498,231219,0,0,0.231219,0.018498,"Other"
"186","Higher Ed","Montclair State University","NJ",57932.4,178182,974240,0.32513048456073,0.0579324,0.97424,0.178182,"Other"
"187","Higher Ed","Morehouse School Of Medicine","GA",3099121.15,6281440,22302125,0.493377497834891,3.09912115,22.302125,6.28144,"Other"
"188","Higher Ed","Morgan State University","MD",743348.8,1199857,3149188,0.619531160796662,0.7433488,3.149188,1.199857,"Other"
"189","Higher Ed","Mount Holyoke College","MA",167789.6,257789,599996,0.650879595327962,0.1677896,0.599996,0.257789,"Other"
"190","Higher Ed","New England College Of Optometry","MA",48399.05,95383,335667,0.507417988530451,0.04839905,0.335667,0.095383,"Other"
"191","Higher Ed","New Jersey Institute Of Technology","NJ",693253.85,1194209,3567258,0.580513000655664,0.69325385,3.567258,1.194209,"Other"
"192","Higher Ed","New Mexico State University Las Cruces","NM",901490.35,2067820,8397738,0.435961713301932,0.90149035,8.397738,2.06782,"Other"
"193","Higher Ed","New School University","NY",4.54747350886464e-13,3963,49538,1.14748259118462e-16,4.54747350886464e-19,0.049538,0.003963,"Other"
"194","Higher Ed","New York Inst Of Technology","NY",156051,264936,725900,0.589013950538998,0.156051,0.7259,0.264936,"Other"
"195","Higher Ed","New York Medical College","NY",1443818.1,2063902,4247359,0.699557488679211,1.4438181,4.247359,2.063902,"Other"
"196","Higher Ed","New York University","NY",13716542.75,21215985,54678832,0.646519251875414,13.71654275,54.678832,21.215985,"New York University"
"197","Higher Ed","New York University School Of Medicine","NY",85040277.35,122822660,272743584,0.69238263810603,85.04027735,272.743584,122.82266,"New York University School Of Medicine"
"198","Higher Ed","North Carolina Agri & Tech St Univ","NC",642929.7,1187575,3788941,0.541380291771046,0.6429297,3.788941,1.187575,"Other"
"199","Higher Ed","North Carolina Central University","NC",1381930.5,2055288,4986009,0.672378031691909,1.3819305,4.986009,2.055288,"Other"
"200","Higher Ed","North Carolina State University Raleigh","NC",7956747.4,12975488,35953148,0.61321373038147,7.9567474,35.953148,12.975488,"Other"
"201","Higher Ed","North Central College","IL",15451,34201,125000,0.451770416069706,0.015451,0.125,0.034201,"Other"
"202","Higher Ed","North Dakota State University","ND",974424.65,1734692,5068449,0.561727759164163,0.97442465,5.068449,1.734692,"Other"
"203","Higher Ed","Northeast Ohio Medical University","OH",1567195.95,2180730,4090227,0.718656573716141,1.56719595,4.090227,2.18073,"Other"
"204","Higher Ed","Northeastern Illinois University","IL",128244.8,291161,1086108,0.440460089091602,0.1282448,1.086108,0.291161,"Other"
"205","Higher Ed","Northeastern University","MA",8167632.7,13681044,38910035,0.59700361317455,8.1676327,38.910035,13.681044,"Other"
"206","Higher Ed","Northern Arizona University","AZ",1860427.35,3176149,9344165,0.58574939336914,1.86042735,9.344165,3.176149,"Other"
"207","Higher Ed","Northern Illinois University","IL",122960.6,192842,465876,0.637623546737744,0.1229606,0.465876,0.192842,"Other"
"208","Higher Ed","Northern Kentucky University","KY",136985.2,224248,581752,0.610864756876316,0.1369852,0.581752,0.224248,"Other"
"209","Higher Ed","Northern Michigan University","MI",0,32356,638753,0,0,0.638753,0.032356,"Other"
"210","Higher Ed","Northern Vermont University-Johnson","VT",22016,37016,100000,0.594769829263021,0.022016,0.1,0.037016,"Other"
"211","Higher Ed","Northwestern University","IL",9053396.25,13548369,32266735,0.668227758632792,9.05339625,32.266735,13.548369,"Other"
"212","Higher Ed","Northwestern University At Chicago","IL",83873511,127005520,302713458,0.660392642776471,83.873511,302.713458,127.00552,"Northwestern University At Chicago"
"213","Higher Ed","Notre Dame Of Maryland University","MD",3.63797880709171e-12,30030,421530,1.21144815420969e-16,3.63797880709171e-18,0.42153,0.03003,"Other"
"214","Higher Ed","Nova Southeastern University","FL",667990.3,1002252,2840506,0.666489365947885,0.6679903,2.840506,1.002252,"Other"
"215","Higher Ed","Nyu Long Island School Of Medicine","NY",1402298.5,1980958,3857730,0.707889061756988,1.4022985,3.85773,1.980958,"Other"
"216","Higher Ed","Oakland University","MI",768026.25,1222227,3028005,0.628382657231431,0.76802625,3.028005,1.222227,"Other"
"217","Higher Ed","Occidental College","CA",118255.25,208142,599245,0.568146986192119,0.11825525,0.599245,0.208142,"Other"
"218","Higher Ed","Ohio State University","OH",49958571.6,75919824,184243064,0.65804382792036,49.9585716,184.243064,75.919824,"Ohio State University"
